id,ratings,price,img_url,corpus,brand,mobile_name,color,storage,system,processor_type,resolution,size
1,4.2,89999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/m/7/-original-imagndwgszztcbsb.jpeg?q=70,storage256 gbram8  systemandroid 13processor typemediatek dimensity 9000processor speed32 50mp 8mp 50mp 8mp 32mp 32mp 5g capacity4300 display size1727 cm 68 inchresolution2520 x 1080 pixelsresolution typefull hdgpuarm malig710 mc10display typefull hd amoled displayother display featuresscreentobody ratio 8648 color saturation 97 ntsc 8 bit color aspect ratio 219 color gamut vivid mode 97 ntsc100 dcip3 gentle mode 70 ntsc100 srgb contrast ratio static contrast ratio max 10000001 dynamic contrast ratio max 20000001 supports sunshine screen brightness 1600 nits screen curvature 2d screen refresh rate 120 hz ltpo variable frequency display min 1 hz touch sampling rate 240 hz screen protector type ar 2d film oleophobic coating on screen,oppo,Find N2 Flip,purple,256,android,mediatek,Full HD,6.8
2,4.3,89999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/m/7/-original-imagndwgszztcbsb.jpeg?q=70,storage256 gbram8  systemandroid 13processor typemediatek dimensity 9000processor speed32 50mp 8mp 50mp 8mp 32mp 32mp 5g capacity4300 display size1727 cm 68 inchresolution2520 x 1080 pixelsresolution typefull hdgpuarm malig710 mc10display typefull hd amoled displayother display featuresscreentobody ratio 8648 color saturation 97 ntsc 8 bit color aspect ratio 219 color gamut vivid mode 97 ntsc100 dcip3 gentle mode 70 ntsc100 srgb contrast ratio static contrast ratio max 10000001 dynamic contrast ratio max 20000001 supports sunshine screen brightness 1600 nits screen curvature 2d screen refresh rate 120 hz ltpo variable frequency display min 1 hz touch sampling rate 240 hz screen protector type ar 2d film oleophobic coating on screen,oppo,Find N2 Flip,purple,256,android,mediatek,Full HD,6.8
3,4.2,89999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/z/u/-original-imagndwg4v7crhhd.jpeg?q=70,storage256 gbram8  systemandroid 13processor typemediatek dimensity 9000processor speed32 50mp 8mp 50mp 8mp 32mp 32mp 5g capacity4300 display size1727 cm 68 inchresolution2520 x 1080 pixelsresolution typefull hdgpuarm malig710 mc10display typefull hd amoled displayother display featuresscreentobody ratio 8648 color saturation 97 ntsc 8 bit color aspect ratio 219 color gamut vivid mode 97 ntsc100 dcip3 gentle mode 70 ntsc100 srgb contrast ratio static contrast ratio max 10000001 dynamic contrast ratio max 20000001 supports sunshine screen brightness 1600 nits screen curvature 2d screen refresh rate 120 hz ltpo variable frequency display min 1 hz touch sampling rate 240 hz screen protector type ar 2d film oleophobic coating on screen,oppo,Find N2 Flip,black,256,android,mediatek,Full HD,6.8
4,4.4,60990,https://rukminim2.flixcart.com/image/312/312/jjylw280/mobile/v/y/2/oppo-find-x-cph1871-original-imaf7fb93mkshx5g.jpeg?q=70,storage256 gbram8  systemandroid oreo 810processor typesnapdragon 845 octa core 2649 ghzprocessor speed2649 16mp 20mp 25mp 3g capacity3730 display size1626 cm 64 inchresolution2340 x 1080 pixelsresolution typefull hdgpuadreno 630display typeamoleddisplay colors16mother display features938 percent screen ratio screen contrast 600001 color saturation ntsc 97 percent maximum brightness 430 nits corning gorilla glass 5 touch screen supplier samsung display,oppo,Find X,blue,256,android,qualcomm,Full HD,6.4
5,4.3,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
6,4.4,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
7,4.5,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/z/d/-original-imagrn6d7ggk4wjp.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 2g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,silver,256,android,mediatek,Full HD,6.7
8,3.8,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
9,4.0,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
10,4.5,32999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70,storage256 gbram8  systemandroid 13processor typedimensity 7050processor speed26 64mp 32mp 8mp 64mp 32mp 8mp 32mp 32mp 5g capacity5000 display size1702 cm 67 inchresolution2412 x 1080 pixelsresolution typefull hdgpuarm mali g68 mc4display typefull hd amoled displaydisplay colors107 billionother display features120 hz 3d curved display aspect ratio 209 hdr10 ultra narrow bazel 240hz touch sampling rate brightness 500nits,oppo,Reno10 5G,blue,256,android,mediatek,Full HD,6.7
